judul,url,lpse,metode,satker,tahap,hps,jadwal,page
Pengadaan Perlengkapan Perorangan Kain PDH TNI AL (Paket 2) TA 2026 - Disbekal,https://pengadaan.info/detail/pengadaan-perlengkapan-perorangan-kain-pdh-tni-al-paket-2-ta-2026-disbekal,LPSE TNI Angkatan Laut,-,MABES TNI AL TNI AL,Pengumuman Pascakualifikasi [...],"Hps Rp 32.999.716.000,00",21 January 2026 12:00:00 s/d 26 February 2026 13:00:00,6
"Manajemen Konstruksi Pembanguan Museum dan Monumen Bahasa Nasional Pulau Penyengat, Kota Tanjungpinang",https://pengadaan.info/detail/manajemen-konstruksi-pembanguan-museum-dan-monumen-bahasa-nasional-pulau-penyengat-kota-tanjungpinang,LPSE Provinsi Kepulauan Riau,-,"Dinas Pekerjaan Umum, Penataan Ruang dan Pertanahan",Pengumuman Prakualifikasi [...],"Hps Rp 3.397.748.184,00",21 January 2026 11:00:00 s/d 23 March 2026 23:59:00,6
Pemagaran Pasar Kepandean (Terminal Kepandean),https://pengadaan.info/detail/pemagaran-pasar-kepandean-terminal-kepandean,LPSE Kota Serang,-,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,Pengumuman Pascakualifikasi [...],"Hps Rp 2.364.898.000,00",21 January 2026 11:00:00 s/d 16 February 2026 16:00:00,7
"Manajemen Konstruksi Pembanguan Museum dan Monumen Bahasa Nasional Pulau Penyengat, Kota Tanjungpinang",https://pengadaan.info/detail/manajemen-konstruksi-pembanguan-museum-dan-monumen-bahasa-nasional-pulau-penyengat-kota-tanjungpinang,LPSE Provinsi Kepulauan Riau,-,"Dinas Pekerjaan Umum, Penataan Ruang dan Pertanahan",Pengumuman Prakualifikasi [...],"Hps Rp 3.397.748.184,00",21 January 2026 11:00:00 s/d 23 March 2026 23:59:00,7
Konsultan Perencanaan Pembangunan SPKKL Kotawaringin Barat,https://pengadaan.info/detail/konsultan-perencanaan-pembangunan-spkkl-kotawaringin-barat,LPSE Badan Keamanan Laut,-,BADAN KEAMANAN LAUT,Pengumuman Prakualifikasi [...],"Hps Rp 1.711.960.215,00",21 January 2026 10:00:00 s/d 06 March 2026 23:59:00,7
Pembuatan Bangunan Operasional Mess Pegawai Tipe I (2 Unit) termasuk Meubelair dan Fasilitas Penunjangnya,https://pengadaan.info/detail/pembuatan-bangunan-operasional-mess-pegawai-tipe-i-2-unit-termasuk-meubelair-dan-fasilitas-penunjangnya,LPSE Kementerian Perhubungan,-,UNIT PENYELENGGARA BANDAR UDARA SIBORU FAKFAK,Pengumuman Pascakualifikasi [...],"Hps Rp 4.390.000.000,00",21 January 2026 10:00:00 s/d 20 February 2026 16:00:00,7
PERBAIKAN RINGAN GEDUNG BRAMMASTA DAN DISPEN,https://pengadaan.info/detail/perbaikan-ringan-gedung-brammasta-dan-dispen,LPSE TNI Angkatan Laut,-,KOARMADA RI TNI AL,Pengumuman Pascakualifikasi [...],"Hps Rp 1.719.375.000,00",21 January 2026 09:15:00 s/d 18 February 2026 09:00:00,7
Pembangunan Pagar Pengaman Batas Lanud Silas Papare,https://pengadaan.info/detail/pembangunan-pagar-pengaman-batas-lanud-silas-papare,LPSE TNI Angkatan Udara,-,LANUD SILAS PAPARE TNI AU,Pengumuman Pascakualifikasi [...],"Hps Rp 5.995.000.000,00",21 January 2026 09:00:00 s/d 19 February 2026 16:00:00,7
PERBAIKAN GEDUNG SADEWA MAKO KOARMADA RI,https://pengadaan.info/detail/perbaikan-gedung-sadewa-mako-koarmada-ri,LPSE TNI Angkatan Laut,-,KOARMADA RI TNI AL,Pengumuman Pascakualifikasi [...],"Hps Rp 1.794.816.000,00",21 January 2026 09:00:00 s/d 18 February 2026 09:00:00,7
Pembangunan Jaringan Perpipaan dan Sambungan Rumah Kabupaten Batanghari dan Kabupaten Muaro Jambi Tender Ulang,https://pengadaan.info/detail/pembangunan-jaringan-perpipaan-dan-sambungan-rumah-kabupaten-batanghari-dan-kabupaten-muaro-jambi-tender-ulang,LPSE Kementrian Pekerjaan Umum dan Perumahan Rakyat,-,694031,Pengumuman Pascakualifikasi [...],"Hps Rp 4.999.999.000,00",21 January 2026 08:00:00 s/d 04 March 2026 16:00:00,7
